words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,word_key
ranking,398,270,152,31,0,474.0,285.5,0.0214979195561719,0.08,65157414-b012-46a2-b362-7bbeda69588e
for,575,272,60,23,0,605.0,283.5,0.0159500693481276,0.031578947368421,3f25d8f7-ea86-469c-ae43-ed8516d44e3d
the,663,271,61,24,0,693.5,283.0,0.0166435506241331,0.0321052631578947,73ad6ce1-0130-4a34-81ca-ea3546663966
sixth,751,270,107,25,0,804.5,282.5,0.0173370319001386,0.0563157894736842,0ac5d4e2-f198-45a2-a093-ad00fea7ba6e
time,883,270,83,25,0,924.5,282.5,0.0173370319001386,0.0436842105263157,6d021f77-6052-4b1f-80de-b9a2c4743956
on,992,278,42,17,0,1013.0,286.5,0.0117891816920943,0.0221052631578947,a169ae01-3a8a-48a1-98ae-ebe9bd01f40e
February,1058,271,173,29,0,1144.5,285.5,0.0201109570041608,0.0910526315789473,172b2eb9-bc54-4099-807b-46938ce81f5c
"18,",1257,274,55,25,0,1284.5,286.5,0.0173370319001386,0.0289473684210526,58e6f476-8292-4d50-9b89-e4fa901b0e20
2013.,1344,274,100,21,0,1394.0,284.5,0.0145631067961165,0.0526315789473684,3b7ecd6d-d40e-43fa-a4c2-29061627c69f
Williams,1474,270,174,25,0,1561.0,282.5,0.0173370319001386,0.091578947368421,2e962348-9059-4f32-bd73-8005411e19e4
has,1673,271,63,24,0,1704.5,283.0,0.0166435506241331,0.0331578947368421,d0d52f07-72b4-4f4a-8708-18a5de124c7c
spent,1763,274,105,27,0,1815.5,287.5,0.0187239944521497,0.0552631578947368,879d05db-d8b6-4da2-8484-87e3e5a7c9ca
256,2,364,61,21,0,32.5,374.5,0.0145631067961165,0.0321052631578947,e012f292-297a-4b7f-a0b1-c2aa105e9360
weeks,88,361,108,24,0,142.0,373.0,0.0166435506241331,0.0568421052631578,236c461c-9522-4ba4-ac17-9bfe544b9eae
overall,222,361,149,24,0,296.5,373.0,0.0166435506241331,0.0784210526315789,ee741c7b-4287-4278-a718-892261a0987c
as,398,367,40,18,0,418.0,376.0,0.0124826629680998,0.0210526315789473,ff24a244-06aa-4f57-8f03-f950a4d1d397
the,465,361,61,24,0,495.5,373.0,0.0166435506241331,0.0321052631578947,c83ea7cd-8e63-4654-afe2-abd1f6a6fe45
WTA,550,364,66,21,0,583.0,374.5,0.0145631067961165,0.0347368421052631,c70b03ea-4633-45fb-87aa-eaa9671f0ae5
ranked,640,361,130,24,0,705.0,373.0,0.0166435506241331,0.0684210526315789,69c1a8b1-1c5e-4835-8c63-65bb62a21037
No.,792,364,58,21,0,821.0,374.5,0.0145631067961165,0.0305263157894736,8a9f813c-749c-40ce-95fd-03e53841478c
1,883,364,16,21,0,891.0,374.5,0.0145631067961165,0.0084210526315789,b6681336-a974-4948-a230-2e761c05779d
as,926,367,40,18,0,946.0,376.0,0.0124826629680998,0.0210526315789473,1a2192c3-450c-4cc4-a13d-8ecc900ad562
of,992,362,39,23,0,1011.5,373.5,0.0159500693481276,0.0205263157894736,5b4dcab8-544e-49cd-a48f-a59ad304e7af
August,1056,364,130,27,0,1121.0,377.5,0.0187239944521497,0.0684210526315789,98c5b790-6a62-411b-b529-7875615d4d43
"30,",1214,364,54,25,0,1241.0,376.5,0.0173370319001386,0.0284210526315789,5d0c8702-d8e0-4416-b99f-192ef4f93493
"2015,",1300,364,100,25,0,1350.0,376.5,0.0173370319001386,0.0526315789473684,2bed863d-559b-4148-8eb0-c9aaee4e4dbc
placing,1430,360,154,31,0,1507.0,375.5,0.0214979195561719,0.0810526315789473,41f2adc7-2013-4159-bffe-7be04234a669
her,1607,361,62,24,0,1638.0,373.0,0.0166435506241331,0.0326315789473684,e783f6e7-8971-4da5-98cd-43f894938b88
4th,1696,361,64,24,0,1728.0,373.0,0.0166435506241331,0.0336842105263157,f07a5ae1-2a71-4d78-80c0-36d99bcf5975
on,1784,368,42,17,0,1805.0,376.5,0.0117891816920943,0.0221052631578947,a533d7a8-5913-4bfc-ae4c-35edcfa85dd0
the,3,451,61,24,0,33.5,463.0,0.0166435506241331,0.0321052631578947,347e89cc-0ebe-4845-ae5d-1fa361d6a8d6
List,90,450,84,25,0,132.0,462.5,0.0173370319001386,0.0442105263157894,7a6c27dd-ad55-45bf-abcf-92a690692d6e
of,200,452,39,23,0,219.5,463.5,0.0159500693481276,0.0205263157894736,f55d9e68-306f-4a1a-8940-dd6fc9f28497
WTA,264,454,66,21,0,297.0,464.5,0.0145631067961165,0.0347368421052631,a4856503-bcb8-4f45-86b0-8fff8e093c72
number,353,451,128,24,0,417.0,463.0,0.0166435506241331,0.0673684210526315,93703d2c-9147-48d8-ad2c-0f2b8fbd99d5
1,509,454,16,21,0,517.0,464.5,0.0145631067961165,0.0084210526315789,c48a1f35-69f2-4ebe-975c-e34ef8d03b9e
ranked,552,451,130,24,0,617.0,463.0,0.0166435506241331,0.0684210526315789,9f649676-9758-4af0-8c28-39b72c795b27
players.,704,451,168,30,0,788.0,466.0,0.0208044382801664,0.0884210526315789,1af17d91-2092-48dc-a777-2c5e0b379e81
Williams,902,450,174,25,0,989.0,462.5,0.0173370319001386,0.091578947368421,5f7bda6a-f106-4a61-b76e-50c1bfb67e21
is,1104,450,38,25,0,1123.0,462.5,0.0173370319001386,0.02,44741920-1055-4934-916e-9029e111db0e
regarded,1168,451,174,30,0,1255.0,466.0,0.0208044382801664,0.091578947368421,6ec6dbea-8291-471f-9437-f38431928899
by,1364,451,43,29,0,1385.5,465.5,0.0201109570041608,0.0226315789473684,b6f4b55e-fdb8-4583-b21f-9332644d505e
some,1433,457,83,18,0,1474.5,466.0,0.0124826629680998,0.0436842105263157,baed32eb-2e71-4030-aef7-4d576b22cf82
"commentators,",1542,454,276,25,0,1680.0,466.5,0.0173370319001386,0.1452631578947368,703187ce-a5d6-40b1-84ba-6ca0c4701f7c
sports,3,544,127,27,0,66.5,557.5,0.0187239944521497,0.0668421052631579,e7140624-1d74-4943-828b-f7db978a849a
"writers,",154,540,168,29,0,238.0,554.5,0.0201109570041608,0.0884210526315789,2ca20f47-48c2-4021-9450-f6ca2de2b7ba
and,354,541,64,24,0,386.0,553.0,0.0166435506241331,0.0336842105263157,c8447952-5a2a-49e1-a1e2-22ac481cf0c3
current,442,544,150,21,0,517.0,554.5,0.0145631067961165,0.0789473684210526,3572f533-f6e5-4684-a804-e459c5171f61
and,618,541,64,24,0,650.0,553.0,0.0166435506241331,0.0336842105263157,f0d3f42a-5e4f-4c4a-be01-804d28f1ba49
former,707,542,126,23,0,770.0,553.5,0.0159500693481276,0.0663157894736842,cf7a32d2-e2bb-4b5d-ac3a-1941bf058120
players,858,541,152,30,0,934.0,556.0,0.0208044382801664,0.08,5e065940-8b02-44aa-8c7f-ebddf484c9b7
as,1036,547,40,18,0,1056.0,556.0,0.0124826629680998,0.0210526315789473,823a7aff-df01-4ee0-a6ec-aae502375319
the,1103,541,61,24,0,1133.5,553.0,0.0166435506241331,0.0321052631578947,d15fb459-3012-4e1f-b748-324ae33c580c
greatest,1190,544,172,27,0,1276.0,557.5,0.0187239944521497,0.0905263157894736,e1fac3c5-9ae0-4e09-80d1-b90283f4479f
female,1389,541,127,24,0,1452.5,553.0,0.0166435506241331,0.0668421052631579,406882fc-074f-46b4-b080-601975954423
tennis,1543,540,127,25,0,1606.5,552.5,0.0173370319001386,0.0668421052631579,f2a3364f-02f8-4de0-a39e-209691742fa8
players,1694,541,152,30,0,1770.0,556.0,0.0208044382801664,0.08,bdb66d12-e778-4b96-89b1-072de71158be
of,2,632,39,23,0,21.5,643.5,0.0159500693481276,0.0205263157894736,f37d9853-5feb-47c4-988d-b0d932c47287
all,68,631,61,24,0,98.5,643.0,0.0166435506241331,0.0321052631578947,91d9793f-ebec-4b7f-845c-fca9eccb4415
time.,157,630,99,25,0,206.5,642.5,0.0173370319001386,0.0521052631578947,aa379149-3253-4abc-b6af-5050d676231c
Williams,286,630,174,25,0,373.0,642.5,0.0173370319001386,0.091578947368421,c99cee05-8468-473d-b220-49cec6a5b235
holds,485,631,107,24,0,538.5,643.0,0.0166435506241331,0.0563157894736842,362117b5-344f-4fbc-93f2-a78d487057d9
the,619,631,61,24,0,649.5,643.0,0.0166435506241331,0.0321052631578947,54d9d7cb-f15a-448b-8f9f-8ed627047a17
most,704,634,86,21,0,747.0,644.5,0.0145631067961165,0.0452631578947368,d4b1666f-fff7-449d-8ae3-5930d6416652
major,814,630,107,31,0,867.5,645.5,0.0214979195561719,0.0563157894736842,65135c6d-cffa-4187-8f4f-ff4d0f752a28
"singles,",949,630,165,31,0,1031.5,645.5,0.0214979195561719,0.0868421052631579,f87ede35-1b0e-4d05-bde1-a33723a26b5f
"doubles,",1145,631,167,28,0,1228.5,645.0,0.0194174757281553,0.0878947368421052,819189e6-09f3-4b0b-a182-fe38bd56a26f
and,1344,631,64,24,0,1376.0,643.0,0.0166435506241331,0.0336842105263157,5cc1fd31-fb02-4275-b61a-f8ac25921617
mixed,1430,630,110,25,0,1485.0,642.5,0.0173370319001386,0.0578947368421052,711d67a8-c934-4fb9-9945-9ed9190aaad5
doubles,1563,631,151,24,0,1638.5,643.0,0.0166435506241331,0.0794736842105263,970288da-c86a-4967-9e3d-ea6fe9cc514d
titles,1741,630,127,25,0,1804.5,642.5,0.0173370319001386,0.0668421052631579,85f3a79f-44ac-493a-8807-02f67fa7bf52
combined,2,721,174,25,0,89.0,733.5,0.0173370319001386,0.091578947368421,80cabb1a-175e-49e0-a253-187803e56017
amongst,200,725,150,27,0,275.0,738.5,0.0187239944521497,0.0789473684210526,00428f20-293f-4469-9227-bc334be01d87
active,376,721,128,25,0,440.0,733.5,0.0173370319001386,0.0673684210526315,d3daf4df-0f44-4593-95c4-55b2bdfcd6df
"players,",528,722,168,30,0,612.0,737.0,0.0208044382801664,0.0884210526315789,e906f552-305c-4d9f-ae7f-855a2967b3df
male,726,722,86,24,0,769.0,734.0,0.0166435506241331,0.0452631578947368,d6f0fedd-be1f-45ba-bf36-35af4ea0a36c
or,838,729,39,17,0,857.5,737.5,0.0117891816920943,0.0205263157894736,2a359ca9-8c59-4623-945b-df7d234f68b5
female.,905,722,143,24,0,976.5,734.0,0.0166435506241331,0.0752631578947368,62b7e02f-bb47-4bc9-a2ff-821dd66837b6
Her,1079,725,62,21,0,1110.0,735.5,0.0145631067961165,0.0326315789473684,9d8bf4c9-07e2-4bc3-9253-8d9d236fd83a
record,1168,722,130,24,0,1233.0,734.0,0.0166435506241331,0.0684210526315789,8a1543fc-c190-4f6f-abd5-199c31821193
of,1322,723,39,23,0,1341.5,734.5,0.0159500693481276,0.0205263157894736,c855551b-fdfb-471c-9660-1ff2a35677da
36,1390,725,37,21,0,1408.5,735.5,0.0145631067961165,0.0194736842105263,628a23d1-e47d-4527-ad5d-f21dda8d6a51
major,1452,721,107,31,0,1505.5,736.5,0.0214979195561719,0.0563157894736842,98b70bd3-9b3b-495d-8020-eee3840b36ce
titles,1587,721,127,25,0,1650.5,733.5,0.0173370319001386,0.0668421052631579,f5fcc0a0-8881-4b20-abde-82049a5c395f
puts,1738,725,86,27,0,1781.0,738.5,0.0187239944521497,0.0452631578947368,b41cc11f-26ad-4403-a53c-39c2bf9195a0
her,1,812,62,24,0,32.0,824.0,0.0166435506241331,0.0326315789473684,d9efd7d8-06e3-429a-a2c3-fb1c095c4427
fifth,91,811,107,25,0,144.5,823.5,0.0173370319001386,0.0563157894736842,4f8e6c07-b966-46b0-b148-4de0c0064f43
on,222,819,42,17,0,243.0,827.5,0.0117891816920943,0.0221052631578947,a438d7e4-efa7-4d35-941a-fba947d1abc5
the,289,812,61,24,0,319.5,824.0,0.0166435506241331,0.0321052631578947,7e42061c-df2e-4dff-97c7-5fa9436c1a69
all-time,376,811,172,25,0,462.0,823.5,0.0173370319001386,0.0905263157894736,52c7cd29-fa63-4406-859f-eebca229b701
list,575,811,83,25,0,616.5,823.5,0.0173370319001386,0.0436842105263157,88042e9d-7e4b-4284-8ac5-b9390d2472bb
and,684,812,64,24,0,716.0,824.0,0.0166435506241331,0.0336842105263157,d56217d5-653e-4090-8a7a-494ce3af2981
second,773,812,129,24,0,837.5,824.0,0.0166435506241331,0.0678947368421052,72109a81-1df2-4d09-be38-f10d2ed70f54
in,928,811,40,25,0,948.0,823.5,0.0173370319001386,0.0210526315789473,7cb1b5fe-61c1-4c00-b807-35324fdcdf91
the,993,812,61,24,0,1023.5,824.0,0.0166435506241331,0.0321052631578947,54d54fdd-7d58-4a19-9be7-418b5d5bdb7b
open,1080,819,86,23,0,1123.0,830.5,0.0159500693481276,0.0452631578947368,fff8f04f-5f59-4270-aa00-3803bfddf9c7
era,1190,819,63,17,0,1221.5,827.5,0.0117891816920943,0.0331578947368421,a1c56600-df01-416e-98c3-07aeb301e447
with:,1276,811,102,25,0,1327.0,823.5,0.0173370319001386,0.0536842105263157,b4b3ca7f-8596-4c0d-ab38-dd707ce531fc
21,1410,815,39,21,0,1429.5,825.5,0.0145631067961165,0.0205263157894736,e63813da-9f8c-44c0-adb7-946f69d697b9
in,1478,811,40,25,0,1498.0,823.5,0.0173370319001386,0.0210526315789473,8e56107a-8d92-4314-81b4-13540036555e
"singles,",1543,811,165,31,0,1625.5,826.5,0.0214979195561719,0.0868421052631579,c25b329a-cb8f-4923-9626-ef2db3fc1266
13,1741,815,38,21,0,1760.0,825.5,0.0145631067961165,0.02,4dc970f8-2514-4fe6-ad8f-d5f50a7e7ec1
in,1808,811,40,25,0,1828.0,823.5,0.0173370319001386,0.0210526315789473,ed78f3c5-701b-4b40-bde9-06954f04bfa4
women's,0,905,152,21,0,76.0,915.5,0.0145631067961165,0.08,37693cd8-cd89-4179-91b5-54a776b3b60c
"doubles,",177,902,167,28,0,260.5,916.0,0.0194174757281553,0.0878947368421052,c98021b9-261b-4965-aac6-096b3404600b
and,376,902,64,24,0,408.0,914.0,0.0166435506241331,0.0336842105263157,20e9d9e7-9fb4-46ea-85c1-27085c09c71a
two,465,905,61,21,0,495.5,915.5,0.0145631067961165,0.0321052631578947,d99d0737-787c-434a-a232-3033fb9b9d4d
in,554,901,40,25,0,574.0,913.5,0.0173370319001386,0.0210526315789473,36181dbf-adc6-430d-816a-572022f0f88f
mixed,616,901,110,25,0,671.0,913.5,0.0173370319001386,0.0578947368421052,2f718fc2-6f02-403f-9865-6483944fcbfb
doubles.,749,902,167,24,0,832.5,914.0,0.0166435506241331,0.0878947368421052,50f10e46-2c01-4826-941a-b28d970d6307
She,948,902,62,24,0,979.0,914.0,0.0166435506241331,0.0326315789473684,0312713f-449c-408c-b4e7-2bf706ba7bd4
is,1038,901,38,25,0,1057.0,913.5,0.0173370319001386,0.02,5a38a0bf-f3a8-4181-8535-53c8ca67bdb4
the,1103,902,61,24,0,1133.5,914.0,0.0166435506241331,0.0321052631578947,46c571b9-adc0-42d6-a0b5-27d4036c5979
most,1188,905,86,21,0,1231.0,915.5,0.0145631067961165,0.0452631578947368,3cf83c07-16e3-4d9b-bff2-defac5fd4c56
recent,1300,905,128,21,0,1364.0,915.5,0.0145631067961165,0.0673684210526315,d81fb754-be2e-4563-80a2-b703c535fe78
"player,",1452,902,146,30,0,1525.0,917.0,0.0208044382801664,0.0768421052631578,81e537cd-5fa0-441e-ae46-1d2c9d472597
male,1628,902,86,24,0,1671.0,914.0,0.0166435506241331,0.0452631578947368,f401d966-6e2a-45a1-9d8e-6a72b006596b
or,1740,909,39,17,0,1759.5,917.5,0.0117891816920943,0.0205263157894736,714a253d-f792-4a7c-a1c9-6909c1027115
"female,",3,992,143,28,0,74.5,1006.0,0.0194174757281553,0.0752631578947368,d907714c-ac6b-4f5a-b95c-92ac80233273
to,179,995,39,21,0,198.5,1005.5,0.0145631067961165,0.0205263157894736,b9e04026-a17e-426e-a4c3-894c33f4a449
have,243,992,85,24,0,285.5,1004.0,0.0166435506241331,0.0447368421052631,75ecf1e1-b74e-4bd8-b78a-f372ae50097a
held,353,992,87,24,0,396.5,1004.0,0.0166435506241331,0.0457894736842105,eb98fdba-7b4f-468c-942b-661d409a2edd
all,464,992,61,24,0,494.5,1004.0,0.0166435506241331,0.0321052631578947,d39728ec-7e00-43a0-af5d-5f26a3a551c3
four,553,993,82,23,0,594.0,1004.5,0.0159500693481276,0.0431578947368421,2e06e317-4aba-4a0f-a253-bcbaecd0fc88
major,660,991,107,31,0,713.5,1006.5,0.0214979195561719,0.0563157894736842,dffab448-a175-447f-a73b-7e9c4b5e29e3
singles,795,991,149,31,0,869.5,1006.5,0.0214979195561719,0.0784210526315789,29e0b195-f053-4579-8701-6b643a4d94c7
titles,971,991,127,25,0,1034.5,1003.5,0.0173370319001386,0.0668421052631579,dd9f9e27-3370-46d6-b1a5-896ce78db131
simultaneously,1125,991,304,30,0,1277.0,1006.0,0.0208044382801664,0.16,be51608b-546b-479d-8826-cf6aa3cbc7eb
(2002-03,1462,992,163,27,0,1543.5,1005.5,0.0187239944521497,0.0857894736842105,7e0f1c81-6331-4983-a0bf-2d4f6c955a8f
and,1652,992,64,24,0,1684.0,1004.0,0.0166435506241331,0.0336842105263157,c22eea52-a453-4bea-9cb0-5af841788df9
"2014-15),",2,1082,188,28,0,96.0,1096.0,0.0194174757281553,0.0989473684210526,c8615df8-23e7-464b-b5de-aa2afaa48d48
the,223,1082,61,24,0,253.5,1094.0,0.0166435506241331,0.0321052631578947,c36a9852-8a53-4830-a404-2c12c3a0d210
fifth,311,1081,107,25,0,364.5,1093.5,0.0173370319001386,0.0563157894736842,0a19f0f8-6a76-4f78-8e19-fa2b1db03b3e
woman,440,1089,110,17,0,495.0,1097.5,0.0117891816920943,0.0578947368421052,c32a6e45-b8e6-408e-8f2e-4d9c4518b25d
ever,574,1089,83,17,0,615.5,1097.5,0.0117891816920943,0.0436842105263157,c3405a9e-09cf-4e7d-95a9-25831d1f7935
to,685,1085,39,21,0,704.5,1095.5,0.0145631067961165,0.0205263157894736,b0cb61ea-be24-4213-b7d6-c46eef85902e
do,749,1082,41,24,0,769.5,1094.0,0.0166435506241331,0.021578947368421,1070c697-9574-43b2-8575-7889b448ad1b
so,817,1088,39,18,0,836.5,1097.0,0.0124826629680998,0.0205263157894736,ec178488-dd0d-4340-9655-f2dc7c9f7506
and,882,1082,64,24,0,914.0,1094.0,0.0166435506241331,0.0336842105263157,6dc55a3b-a6ff-4a4c-a50e-fa1f5a348a58
only,970,1082,85,29,0,1012.5,1096.5,0.0201109570041608,0.0447368421052631,52c84572-647c-452d-8804-605231ddd0ab
the,1081,1082,61,24,0,1111.5,1094.0,0.0166435506241331,0.0321052631578947,0b1df50b-0762-4139-b229-19f75912e9f3
third,1169,1081,107,25,0,1222.5,1093.5,0.0173370319001386,0.0563157894736842,b0ab1c63-c060-4c71-883e-859d7a66d168
"player,",1298,1082,146,30,0,1371.0,1097.0,0.0208044382801664,0.0768421052631578,041e7317-e945-4a68-afa5-caeda91be5fb
male,1474,1082,86,24,0,1517.0,1094.0,0.0166435506241331,0.0452631578947368,61c90003-d8e4-4f4c-baff-9eb5b72c9f46
or,1586,1089,39,17,0,1605.5,1097.5,0.0117891816920943,0.0205263157894736,c7a44a79-d349-4ea7-b083-c5620887214f
"female,",1653,1082,143,28,0,1724.5,1096.0,0.0194174757281553,0.0752631578947368,2a03596a-87f1-4e51-9674-0430339d330a
to,1829,1085,39,21,0,1848.5,1095.5,0.0145631067961165,0.0205263157894736,7cf525b2-9c2e-4b20-bac7-a4dba839a288
achieve,2,1171,150,25,0,77.0,1183.5,0.0173370319001386,0.0789473684210526,354cf113-866f-4cd0-acef-b3597a5382bd
this,179,1171,83,25,0,220.5,1183.5,0.0173370319001386,0.0436842105263157,add9f0ad-a613-4131-926a-682406edb679
record,288,1172,130,24,0,353.0,1184.0,0.0166435506241331,0.0684210526315789,0ae26ad4-773a-47df-a541-87566343a1a3
twice,443,1171,105,25,0,495.5,1183.5,0.0173370319001386,0.0552631578947368,30a6597b-2dd6-4961-952c-8a0c9ce8b8d7
after,574,1173,105,23,0,626.5,1184.5,0.0159500693481276,0.0552631578947368,08383c8d-b9a0-4c3f-b906-635cca578451
Rod,705,1172,65,24,0,737.5,1184.0,0.0166435506241331,0.0342105263157894,eb2c495b-3844-4108-8f0e-48e5457797d0
Laver,794,1175,105,21,0,846.5,1185.5,0.0145631067961165,0.0552631578947368,487bfd80-ae53-469f-af48-f89bbd566c4b
and,926,1172,64,24,0,958.0,1184.0,0.0166435506241331,0.0336842105263157,f2d49a56-c00f-46c1-b514-7ce13e81dfb4
Steffi,1014,1171,128,25,0,1078.0,1183.5,0.0173370319001386,0.0673684210526315,c6e649cc-d4f7-45cc-b15c-c3c7616dd6be
Graf.,1167,1173,101,23,0,1217.5,1184.5,0.0159500693481276,0.0531578947368421,6223468b-bf1a-49f7-8193-c2c06eaf4857
She,1300,1172,62,24,0,1331.0,1184.0,0.0166435506241331,0.0326315789473684,13c96cb8-f37d-4887-ad7b-f6fb302538c9
is,1390,1171,38,25,0,1409.0,1183.5,0.0173370319001386,0.02,78aaf728-c918-4845-bfd9-057cbd95eb26
also,1454,1172,84,24,0,1496.0,1184.0,0.0166435506241331,0.0442105263157894,a9612556-33a4-4650-9086-9d181d50b302
the,1565,1172,61,24,0,1595.5,1184.0,0.0166435506241331,0.0321052631578947,13afc490-2877-49d5-8d3b-fe34b99bbd8e
most,1650,1175,86,21,0,1693.0,1185.5,0.0145631067961165,0.0452631578947368,e6e54d3d-e268-407f-b4a7-2e36c9eca58b
